"Serial","Site_ID"
2338783,"C1196290HU101"
2338789,"C1196290HU101"
2338800,"C1174703SA101"
2338801,"C1196211HU101"
2338804,"C1131528SA101"
2338815,"C1197029HU101"
2338816,"C1196788HU101"
2338817,"C1195674HU101"
2338833,"C1195808HU101"
9817415,"C1198052HU101"
9828216,"C1198052HU101"
9831765,"C1196757HU101"
9831866,"C1198127HU101"
9834696,"C1121751SA101"
9838549,"C1196314HU101"
10077306,"C1197458HU101"
10077309,"C1137367SA101"
10077311,"C1196948HU101"
10077349,"C1047348SA101"
10077354,"C1196788HU101"
10077355,"C1197328HU101"
10077363,"C1195810HU101"
10077365,"C1198131HU101"
10077370,"C1198103HU101"
10077382,"C1196807HU101"
